Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_551,VPWR,li1,259.4400,263.8400,1.799990
FILLER_93_548,VPWR,li1,258.2900,263.8400,1.799990
FILLER_93_545,VPWR,li1,256.9100,263.8400,1.799990
FILLER_93_542,VPWR,li1,255.5300,263.8400,1.799990
FILLER_93_539,VPWR,li1,254.1500,263.8400,1.799990
FILLER_93_536,VPWR,li1,252.7700,263.8400,1.799990
FILLER_93_533,VPWR,li1,251.3900,263.8400,1.799990
FILLER_93_529,VPWR,li1,249.5500,263.8400,1.799990
FILLER_93_526,VPWR,li1,248.1700,263.8400,1.799990
FILLER_93_523,VPWR,li1,246.7900,263.8400,1.799990
FILLER_93_520,VPWR,li1,245.4100,263.8400,1.799990
FILLER_93_517,VPWR,li1,244.0300,263.8400,1.799990
FILLER_93_514,VPWR,li1,242.6500,263.8400,1.799990
FILLER_93_511,VPWR,li1,241.2700,263.8400,1.799990
FILLER_93_508,VPWR,li1,239.8900,263.8400,1.799990
FILLER_93_505,VPWR,li1,238.5100,263.8400,1.799990
FILLER_93_501,VPWR,li1,236.6700,263.8400,1.799990
FILLER_93_498,VPWR,li1,235.2900,263.8400,1.799990
FILLER_93_495,VPWR,li1,233.9100,263.8400,1.799990
FILLER_93_492,VPWR,li1,232.5300,263.8400,1.799990
FILLER_93_489,VPWR,li1,231.1500,263.8400,1.799990
FILLER_93_486,VPWR,li1,229.7700,263.8400,1.799990
FILLER_93_483,VPWR,li1,228.3900,263.8400,1.799990
FILLER_93_480,VPWR,li1,227.0100,263.8400,1.799990
FILLER_93_477,VPWR,li1,225.6300,263.8400,1.799990
FILLER_93_473,VPWR,li1,223.7900,263.8400,1.799990
FILLER_93_470,VPWR,li1,222.4100,263.8400,1.799990
FILLER_93_467,VPWR,li1,221.0300,263.8400,1.799990
FILLER_93_464,VPWR,li1,219.6500,263.8400,1.799991
FILLER_93_461,VPWR,li1,218.2700,263.8400,1.799991
FILLER_93_458,VPWR,li1,216.8900,263.8400,1.799991
FILLER_93_455,VPWR,li1,215.5100,263.8400,1.799991
FILLER_93_452,VPWR,li1,214.1300,263.8400,1.799991
FILLER_93_449,VPWR,li1,212.7500,263.8400,1.799991
FILLER_93_445,VPWR,li1,210.9100,263.8400,1.799991
FILLER_93_442,VPWR,li1,209.5300,263.8400,1.799991
FILLER_93_439,VPWR,li1,208.1500,263.8400,1.799991
FILLER_93_436,VPWR,li1,206.7700,263.8400,1.799991
FILLER_93_433,VPWR,li1,205.3900,263.8400,1.799991
FILLER_93_430,VPWR,li1,204.0100,263.8400,1.799991
FILLER_93_427,VPWR,li1,202.6300,263.8400,1.799991
FILLER_93_424,VPWR,li1,201.2500,263.8400,1.799991
FILLER_93_421,VPWR,li1,199.8700,263.8400,1.799991
FILLER_93_419,VPWR,li1,198.4900,263.8400,1.799991
FILLER_93_416,VPWR,li1,197.5700,263.8400,1.799992
FILLER_93_413,VPWR,li1,196.1900,263.8400,1.799992
FILLER_93_410,VPWR,li1,194.8100,263.8400,1.799992
FILLER_93_407,VPWR,li1,193.4300,263.8400,1.799992
FILLER_93_404,VPWR,li1,192.0500,263.8400,1.799992
FILLER_93_401,VPWR,li1,190.6700,263.8400,1.799992
FILLER_93_389,VPWR,li1,185.1500,263.8400,1.799992
FILLER_93_386,VPWR,li1,183.7700,263.8400,1.799993
FILLER_93_383,VPWR,li1,182.3900,263.8400,1.799993
FILLER_93_380,VPWR,li1,181.0100,263.8400,1.799993
FILLER_93_377,VPWR,li1,179.6300,263.8400,1.799993
FILLER_93_374,VPWR,li1,178.2500,263.8400,1.799993
FILLER_93_371,VPWR,li1,176.8700,263.8400,1.799993
FILLER_93_368,VPWR,li1,175.4900,263.8400,1.799993
FILLER_93_365,VPWR,li1,174.1100,263.8400,1.799992
FILLER_93_363,VPWR,li1,172.7300,263.8400,1.799992
FILLER_93_352,VPWR,li1,168.1300,263.8400,1.799990
FILLER_93_349,VPWR,li1,166.7500,263.8400,1.799989
FILLER_93_346,VPWR,li1,165.3700,263.8400,1.799989
FILLER_93_343,VPWR,li1,163.9900,263.8400,1.799988
FILLER_93_340,VPWR,li1,162.6100,263.8400,1.799988
FILLER_93_337,VPWR,li1,161.2300,263.8400,1.799986
FILLER_93_327,VPWR,li1,156.1700,263.8400,1.799985
FILLER_93_317,VPWR,li1,151.8000,263.8400,1.799983
FILLER_93_305,VPWR,li1,146.5100,263.8400,1.799981
FILLER_93_302,VPWR,li1,145.1300,263.8400,1.799981
FILLER_93_299,VPWR,li1,143.7500,263.8400,1.799980
FILLER_93_296,VPWR,li1,142.3700,263.8400,1.799980
FILLER_93_293,VPWR,li1,140.9900,263.8400,1.799980
FILLER_93_290,VPWR,li1,139.6100,263.8400,1.799979
FILLER_93_287,VPWR,li1,138.2300,263.8400,1.799978
FILLER_93_284,VPWR,li1,136.8500,263.8400,1.799978
FILLER_93_281,VPWR,li1,135.4700,263.8400,1.799978
FILLER_93_279,VPWR,li1,134.0900,263.8400,1.799977
FILLER_93_276,VPWR,li1,133.1700,263.8400,1.799977
FILLER_93_273,VPWR,li1,131.7900,263.8400,1.799976
FILLER_93_264,VPWR,li1,127.1900,263.8400,1.799975
FILLER_93_261,VPWR,li1,126.2700,263.8400,1.799975
FILLER_93_243,VPWR,li1,117.5300,263.8400,1.799973
FILLER_93_225,VPWR,li1,109.4800,263.8400,1.799971
FILLER_93_206,VPWR,li1,100.7400,263.8400,1.799970
FILLER_93_203,VPWR,li1,99.5900,263.8400,1.799970
FILLER_93_200,VPWR,li1,98.2100,263.8400,1.799970
FILLER_93_197,VPWR,li1,96.8300,263.8400,1.799969
FILLER_93_195,VPWR,li1,95.4500,263.8400,1.799969
FILLER_93_192,VPWR,li1,94.5300,263.8400,1.799969
FILLER_93_189,VPWR,li1,93.1500,263.8400,1.799969
FILLER_93_180,VPWR,li1,88.7800,263.8400,1.799969
FILLER_93_177,VPWR,li1,87.6300,263.8400,1.799969
FILLER_93_141,VPWR,li1,71.0700,263.8400,1.799970
FILLER_93_113,VPWR,li1,58.1900,263.8400,1.799972
FILLER_93_85,VPWR,li1,45.3100,263.8400,1.799977
FILLER_93_83,VPWR,li1,43.9300,263.8400,1.799977
FILLER_93_80,VPWR,li1,43.0100,263.8400,1.799977
FILLER_93_77,VPWR,li1,41.6300,263.8400,1.799978
FILLER_93_60,VPWR,li1,33.3500,263.8400,1.799982
FILLER_93_57,VPWR,li1,32.4300,263.8400,1.799984
FILLER_93_54,VPWR,li1,30.8200,263.8400,1.799984
FILLER_93_51,VPWR,li1,29.6700,263.8400,1.799985
FILLER_93_41,VPWR,li1,24.8400,263.8400,1.799988
FILLER_93_38,VPWR,li1,23.6900,263.8400,1.799988
FILLER_93_35,VPWR,li1,22.3100,263.8400,1.799990
FILLER_93_32,VPWR,li1,20.9300,263.8400,1.799989
FILLER_93_29,VPWR,li1,19.5500,263.8400,1.799989
FILLER_93_27,VPWR,li1,18.1700,263.8400,1.799988
FILLER_93_24,VPWR,li1,17.2500,263.8400,1.799988
FILLER_93_21,VPWR,li1,15.8700,263.8400,1.799987
FILLER_93_18,VPWR,li1,14.4900,263.8400,1.799987
FILLER_93_15,VPWR,li1,13.1100,263.8400,1.799986
FILLER_93_12,VPWR,li1,11.7300,263.8400,1.799986
FILLER_93_9,VPWR,li1,10.3500,263.8400,1.799986
FILLER_93_6,VPWR,li1,8.9700,263.8400,1.799986
FILLER_93_3,VPWR,li1,7.5900,263.8400,1.799986
FILLER_92_550,VPWR,li1,259.2100,263.8400,1.799990
FILLER_92_547,VPWR,li1,257.8300,263.8400,1.799990
FILLER_92_544,VPWR,li1,256.4500,263.8400,1.799990
FILLER_92_541,VPWR,li1,255.0700,263.8400,1.799990
FILLER_92_538,VPWR,li1,253.6900,263.8400,1.799990
FILLER_92_530,VPWR,li1,249.7800,263.8400,1.799990
FILLER_92_527,VPWR,li1,248.6300,263.8400,1.799990
FILLER_92_524,VPWR,li1,247.2500,263.8400,1.799990
FILLER_92_521,VPWR,li1,245.8700,263.8400,1.799990
FILLER_92_518,VPWR,li1,244.4900,263.8400,1.799990
FILLER_92_515,VPWR,li1,243.1100,263.8400,1.799990
FILLER_92_512,VPWR,li1,241.7300,263.8400,1.799990
FILLER_92_509,VPWR,li1,240.3500,263.8400,1.799990
FILLER_92_498,VPWR,li1,234.8300,263.8400,1.799990
FILLER_92_495,VPWR,li1,233.9100,263.8400,1.799990
FILLER_92_492,VPWR,li1,232.5300,263.8400,1.799990
FILLER_92_489,VPWR,li1,231.1500,263.8400,1.799990
FILLER_92_486,VPWR,li1,229.7700,263.8400,1.799990
FILLER_92_483,VPWR,li1,228.3900,263.8400,1.799990
FILLER_92_480,VPWR,li1,227.0100,263.8400,1.799990
FILLER_92_477,VPWR,li1,225.6300,263.8400,1.799990
FILLER_92_475,VPWR,li1,224.2500,263.8400,1.799990
FILLER_92_472,VPWR,li1,223.3300,263.8400,1.799990
FILLER_92_469,VPWR,li1,221.9500,263.8400,1.799990
FILLER_92_466,VPWR,li1,220.5700,263.8400,1.799990
FILLER_92_463,VPWR,li1,219.1900,263.8400,1.799991
FILLER_92_446,VPWR,li1,211.3700,263.8400,1.799991
FILLER_92_443,VPWR,li1,209.9900,263.8400,1.799991
FILLER_92_440,VPWR,li1,208.6100,263.8400,1.799991
FILLER_92_437,VPWR,li1,207.2300,263.8400,1.799991
FILLER_92_434,VPWR,li1,205.8500,263.8400,1.799991
FILLER_92_427,VPWR,li1,202.4000,263.8400,1.799991
FILLER_92_424,VPWR,li1,201.2500,263.8400,1.799991
FILLER_92_421,VPWR,li1,199.8700,263.8400,1.799991
FILLER_92_419,VPWR,li1,198.4900,263.8400,1.799991
FILLER_92_416,VPWR,li1,197.5700,263.8400,1.799992
FILLER_92_413,VPWR,li1,196.1900,263.8400,1.799992
FILLER_92_410,VPWR,li1,194.8100,263.8400,1.799992
FILLER_92_407,VPWR,li1,193.4300,263.8400,1.799992
FILLER_92_404,VPWR,li1,192.0500,263.8400,1.799992
FILLER_92_401,VPWR,li1,190.6700,263.8400,1.799992
FILLER_92_398,VPWR,li1,189.2900,263.8400,1.799992
FILLER_92_395,VPWR,li1,187.9100,263.8400,1.799992
FILLER_92_392,VPWR,li1,186.5300,263.8400,1.799992
FILLER_92_389,VPWR,li1,185.1500,263.8400,1.799992
FILLER_92_386,VPWR,li1,183.7700,263.8400,1.799993
FILLER_92_383,VPWR,li1,182.3900,263.8400,1.799993
FILLER_92_380,VPWR,li1,181.0100,263.8400,1.799993
FILLER_92_377,VPWR,li1,179.6300,263.8400,1.799993
FILLER_92_374,VPWR,li1,178.2500,263.8400,1.799993
FILLER_92_371,VPWR,li1,176.8700,263.8400,1.799993
FILLER_92_358,VPWR,li1,170.4300,263.8400,1.799991
FILLER_92_355,VPWR,li1,169.5100,263.8400,1.799990
FILLER_92_352,VPWR,li1,168.1300,263.8400,1.799990
FILLER_92_349,VPWR,li1,166.7500,263.8400,1.799989
FILLER_92_346,VPWR,li1,165.3700,263.8400,1.799989
FILLER_92_343,VPWR,li1,163.9900,263.8400,1.799988
FILLER_92_340,VPWR,li1,162.6100,263.8400,1.799988
FILLER_92_337,VPWR,li1,161.2300,263.8400,1.799986
FILLER_92_334,VPWR,li1,159.8500,263.8400,1.799986
FILLER_92_320,VPWR,li1,152.9500,263.8400,1.799983
FILLER_92_317,VPWR,li1,152.0300,263.8400,1.799983
FILLER_92_309,VPWR,li1,148.3500,263.8400,1.799981
FILLER_92_307,VPWR,li1,146.9700,263.8400,1.799981
FILLER_92_304,VPWR,li1,146.0500,263.8400,1.799981
FILLER_92_301,VPWR,li1,144.6700,263.8400,1.799980
FILLER_92_298,VPWR,li1,143.2900,263.8400,1.799980
FILLER_92_295,VPWR,li1,141.9100,263.8400,1.799980
FILLER_92_292,VPWR,li1,140.5300,263.8400,1.799979
FILLER_92_289,VPWR,li1,139.1500,263.8400,1.799979
FILLER_92_286,VPWR,li1,137.7700,263.8400,1.799978
FILLER_92_283,VPWR,li1,136.3900,263.8400,1.799978
FILLER_92_280,VPWR,li1,135.0100,263.8400,1.799978
FILLER_92_277,VPWR,li1,133.6300,263.8400,1.799977
FILLER_92_274,VPWR,li1,132.2500,263.8400,1.799976
