Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_557,VGND,li1,261.9700,266.5600,0.000017
FILLER_93_554,VGND,li1,261.0500,266.5600,0.000017
FILLER_93_551,VGND,li1,259.6700,266.5600,0.000017
FILLER_93_548,VGND,li1,258.2900,266.5600,0.000017
FILLER_93_545,VGND,li1,256.9100,266.5600,0.000017
FILLER_93_542,VGND,li1,255.5300,266.5600,0.000017
FILLER_93_539,VGND,li1,254.1500,266.5600,0.000017
FILLER_93_536,VGND,li1,252.7700,266.5600,0.000017
FILLER_93_533,VGND,li1,251.3900,266.5600,0.000017
FILLER_93_529,VGND,li1,249.5500,266.5600,0.000017
FILLER_93_526,VGND,li1,248.1700,266.5600,0.000017
FILLER_93_523,VGND,li1,246.7900,266.5600,0.000017
FILLER_93_520,VGND,li1,245.4100,266.5600,0.000017
FILLER_93_517,VGND,li1,244.0300,266.5600,0.000017
FILLER_93_514,VGND,li1,242.6500,266.5600,0.000017
FILLER_93_511,VGND,li1,241.2700,266.5600,0.000017
FILLER_93_508,VGND,li1,239.8900,266.5600,0.000017
FILLER_93_505,VGND,li1,238.5100,266.5600,0.000017
FILLER_93_501,VGND,li1,236.6700,266.5600,0.000017
FILLER_93_498,VGND,li1,235.2900,266.5600,0.000017
FILLER_93_495,VGND,li1,233.9100,266.5600,0.000017
FILLER_93_492,VGND,li1,232.5300,266.5600,0.000017
FILLER_93_489,VGND,li1,231.1500,266.5600,0.000017
FILLER_93_486,VGND,li1,229.7700,266.5600,0.000017
FILLER_93_483,VGND,li1,228.3900,266.5600,0.000017
FILLER_93_480,VGND,li1,227.0100,266.5600,0.000017
FILLER_93_477,VGND,li1,225.6300,266.5600,0.000017
FILLER_93_469,VGND,li1,221.7200,266.5600,0.000017
FILLER_93_458,VGND,li1,216.8900,266.5600,0.000016
FILLER_93_455,VGND,li1,215.5100,266.5600,0.000016
FILLER_93_452,VGND,li1,214.1300,266.5600,0.000016
FILLER_93_449,VGND,li1,212.7500,266.5600,0.000016
FILLER_93_445,VGND,li1,210.9100,266.5600,0.000016
FILLER_93_442,VGND,li1,209.5300,266.5600,0.000015
FILLER_93_439,VGND,li1,208.1500,266.5600,0.000015
FILLER_93_436,VGND,li1,206.7700,266.5600,0.000015
FILLER_93_433,VGND,li1,205.3900,266.5600,0.000015
FILLER_93_430,VGND,li1,204.0100,266.5600,0.000015
FILLER_93_427,VGND,li1,202.6300,266.5600,0.000015
FILLER_93_424,VGND,li1,201.2500,266.5600,0.000015
FILLER_93_421,VGND,li1,199.8700,266.5600,0.000015
FILLER_93_417,VGND,li1,198.0300,266.5600,0.000014
FILLER_93_406,VGND,li1,192.9700,266.5600,0.000014
FILLER_93_403,VGND,li1,191.5900,266.5600,0.000014
FILLER_93_393,VGND,li1,186.7600,266.5600,0.000013
FILLER_93_389,VGND,li1,185.1500,266.5600,0.000013
FILLER_93_361,VGND,li1,172.2700,266.5600,0.000015
FILLER_93_312,VGND,li1,149.7300,266.5600,0.000022
FILLER_93_309,VGND,li1,148.3500,266.5600,0.000022
FILLER_93_305,VGND,li1,146.5100,266.5600,0.000022
FILLER_93_302,VGND,li1,145.1300,266.5600,0.000023
FILLER_93_299,VGND,li1,143.7500,266.5600,0.000023
FILLER_93_281,VGND,li1,135.2400,266.5600,0.000025
FILLER_93_253,VGND,li1,122.5900,266.5600,0.000027
FILLER_93_225,VGND,li1,109.7100,266.5600,0.000028
FILLER_93_197,VGND,li1,96.8300,266.5600,0.000028
FILLER_93_177,VGND,li1,87.6300,266.5600,0.000028
FILLER_93_141,VGND,li1,70.8400,266.5600,0.000024
FILLER_93_113,VGND,li1,58.1900,266.5600,0.000021
FILLER_93_111,VGND,li1,56.8100,266.5600,0.000020
FILLER_93_108,VGND,li1,55.8900,266.5600,0.000020
FILLER_93_100,VGND,li1,51.9800,266.5600,0.000018
FILLER_93_97,VGND,li1,50.8300,266.5600,0.000018
FILLER_93_94,VGND,li1,49.4500,266.5600,0.000017
FILLER_93_91,VGND,li1,48.0700,266.5600,0.000017
FILLER_93_88,VGND,li1,46.6900,266.5600,0.000016
FILLER_93_85,VGND,li1,45.3100,266.5600,0.000016
FILLER_93_81,VGND,li1,43.4700,266.5600,0.000016
FILLER_93_78,VGND,li1,42.0900,266.5600,0.000015
FILLER_93_75,VGND,li1,40.7100,266.5600,0.000015
FILLER_93_72,VGND,li1,39.3300,266.5600,0.000014
FILLER_93_69,VGND,li1,37.9500,266.5600,0.000014
FILLER_93_66,VGND,li1,36.5700,266.5600,0.000013
FILLER_93_63,VGND,li1,35.1900,266.5600,0.000013
FILLER_93_60,VGND,li1,33.8100,266.5600,0.000012
FILLER_93_57,VGND,li1,32.4300,266.5600,0.000012
FILLER_93_53,VGND,li1,30.5900,266.5600,0.000012
FILLER_93_12,VGND,li1,11.5000,266.5600,0.000010
FILLER_93_9,VGND,li1,10.3500,266.5600,0.000010
FILLER_93_6,VGND,li1,8.9700,266.5600,0.000010
FILLER_93_3,VGND,li1,7.5900,266.5600,0.000010
FILLER_92_557,VGND,li1,261.9700,261.1200,0.000075
FILLER_92_554,VGND,li1,261.0500,261.1200,0.000075
FILLER_92_551,VGND,li1,259.6700,261.1200,0.000075
FILLER_92_548,VGND,li1,258.2900,261.1200,0.000075
FILLER_92_545,VGND,li1,256.9100,261.1200,0.000075
FILLER_92_542,VGND,li1,255.5300,261.1200,0.000075
FILLER_92_536,VGND,li1,252.3100,261.1200,0.000075
FILLER_92_533,VGND,li1,251.3900,261.1200,0.000075
FILLER_92_530,VGND,li1,249.7800,261.1200,0.000075
FILLER_92_527,VGND,li1,248.6300,261.1200,0.000075
FILLER_92_524,VGND,li1,247.2500,261.1200,0.000075
FILLER_92_521,VGND,li1,245.8700,261.1200,0.000075
FILLER_92_518,VGND,li1,244.4900,261.1200,0.000075
FILLER_92_515,VGND,li1,243.1100,261.1200,0.000075
FILLER_92_512,VGND,li1,241.7300,261.1200,0.000075
FILLER_92_509,VGND,li1,240.3500,261.1200,0.000075
FILLER_92_506,VGND,li1,238.9700,261.1200,0.000074
FILLER_92_503,VGND,li1,237.5900,261.1200,0.000074
FILLER_92_500,VGND,li1,236.2100,261.1200,0.000074
FILLER_92_497,VGND,li1,234.8300,261.1200,0.000074
FILLER_92_494,VGND,li1,233.4500,261.1200,0.000074
FILLER_92_491,VGND,li1,232.0700,261.1200,0.000074
FILLER_92_488,VGND,li1,230.6900,261.1200,0.000074
FILLER_92_485,VGND,li1,229.3100,261.1200,0.000074
FILLER_92_482,VGND,li1,227.9300,261.1200,0.000074
FILLER_92_475,VGND,li1,224.2500,261.1200,0.000074
FILLER_92_461,VGND,li1,218.2700,261.1200,0.000072
FILLER_92_458,VGND,li1,216.8900,261.1200,0.000072
FILLER_92_455,VGND,li1,215.5100,261.1200,0.000072
FILLER_92_452,VGND,li1,214.1300,261.1200,0.000072
FILLER_92_449,VGND,li1,212.7500,261.1200,0.000071
FILLER_92_446,VGND,li1,211.3700,261.1200,0.000071
FILLER_92_443,VGND,li1,209.9900,261.1200,0.000070
FILLER_92_440,VGND,li1,208.6100,261.1200,0.000070
FILLER_92_437,VGND,li1,207.2300,261.1200,0.000070
FILLER_92_430,VGND,li1,203.7800,261.1200,0.000069
FILLER_92_427,VGND,li1,202.6300,261.1200,0.000069
FILLER_92_424,VGND,li1,201.2500,261.1200,0.000068
FILLER_92_421,VGND,li1,199.8700,261.1200,0.000068
FILLER_92_417,VGND,li1,198.0300,261.1200,0.000067
FILLER_92_410,VGND,li1,194.5800,261.1200,0.000065
FILLER_92_407,VGND,li1,193.4300,261.1200,0.000065
FILLER_92_404,VGND,li1,192.0500,261.1200,0.000064
FILLER_92_401,VGND,li1,190.6700,261.1200,0.000063
FILLER_92_398,VGND,li1,189.2900,261.1200,0.000063
FILLER_92_395,VGND,li1,187.9100,261.1200,0.000062
FILLER_92_386,VGND,li1,183.3100,261.1200,0.000059
FILLER_92_383,VGND,li1,182.3900,261.1200,0.000059
FILLER_92_375,VGND,li1,178.2500,261.1200,0.000056
FILLER_92_365,VGND,li1,173.8800,261.1200,0.000063
FILLER_92_363,VGND,li1,172.7300,261.1200,0.000067
FILLER_92_360,VGND,li1,171.8100,261.1200,0.000067
FILLER_92_357,VGND,li1,170.4300,261.1200,0.000070
FILLER_92_318,VGND,li1,152.2600,261.1200,0.000098
FILLER_92_315,VGND,li1,151.1100,261.1200,0.000102
FILLER_92_312,VGND,li1,149.7300,261.1200,0.000102
FILLER_92_309,VGND,li1,148.3500,261.1200,0.000106
FILLER_92_307,VGND,li1,146.9700,261.1200,0.000109
FILLER_92_304,VGND,li1,146.0500,261.1200,0.000109
FILLER_92_301,VGND,li1,144.6700,261.1200,0.000112
FILLER_92_298,VGND,li1,143.2900,261.1200,0.000112
FILLER_92_295,VGND,li1,141.9100,261.1200,0.000115
FILLER_92_292,VGND,li1,140.5300,261.1200,0.000119
FILLER_92_289,VGND,li1,139.1500,261.1200,0.000119
FILLER_92_253,VGND,li1,122.5900,261.1200,0.000142
FILLER_92_233,VGND,li1,113.3900,261.1200,0.000147
FILLER_92_224,VGND,li1,108.7900,261.1200,0.000150
FILLER_92_221,VGND,li1,107.8700,261.1200,0.000150
FILLER_92_203,VGND,li1,99.1300,261.1200,0.000152
FILLER_92_200,VGND,li1,98.2100,261.1200,0.000152
