Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,22
design__inferred_latch__count,0
design__instance__count,12505
design__instance__area,65980.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001246560481376946
power__switching__total,0.0006671975133940578
power__leakage__total,6.468954438787478E-8
power__total,0.0019138227216899395
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.04319106305967038
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.04319106305967038
timing__hold__ws__corner:nom_tt_025C_1v80,0.45083099640631896
timing__setup__ws__corner:nom_tt_025C_1v80,13.638784709874846
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.450831
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,19.315861
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.07225925617941827
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.07225925617941827
timing__hold__ws__corner:nom_ss_100C_1v60,0.8889020882074439
timing__setup__ws__corner:nom_ss_100C_1v60,6.363672435792748
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.888902
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.844044
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.03234346215732549
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.03234346215732549
timing__hold__ws__corner:nom_ff_n40C_1v95,0.28479386321985334
timing__setup__ws__corner:nom_ff_n40C_1v95,16.35434589598831
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.284794
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,0.08045209171019758
clock__skew__worst_setup,0.028635428172509567
timing__hold__ws,0.2833215131585302
timing__setup__ws,6.127842406945822
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.283321
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.678916
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 269.36 280.08
design__core__bbox,5.52 10.88 263.58 266.56
design__io,110
design__die__area,75442.3
design__core__area,65980.8
design__instance__count__stdcell,4043
design__instance__area__stdcell,37554.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.569177
design__instance__utilization__stdcell,0.569177
design__rows,94
design__rows:unithd,94
design__sites,52734
design__sites:unithd,52734
design__instance__count__class:inverter,67
design__instance__area__class:inverter,253.994
design__instance__count__class:sequential_cell,416
design__instance__area__class:sequential_cell,8863.5
design__instance__count__class:multi_input_combinational_cell,2383
design__instance__area__class:multi_input_combinational_cell,24303.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,8462
design__instance__area__class:fill_cell,28426
design__instance__count__class:tap_cell,912
design__instance__area__class:tap_cell,1141.09
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,108
design__io__hpwl,7117674
design__max_slew_violation__count__corner:max_ss_100C_1v60,10
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,1
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.08045209171019758
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.08045209171019758
timing__hold__ws__corner:max_ss_100C_1v60,0.8924989888643517
timing__setup__ws__corner:max_ss_100C_1v60,6.127842406945822
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.892499
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,11.678916
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,107867
design__violations,0
design__instance__count__class:timing_repair_buffer,181
design__instance__area__class:timing_repair_buffer,1965.64
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,72
design__instance__area__class:clock_buffer,934.646
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,82.5792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,75
global_route__wirelength,194310
antenna__violating__nets,0
antenna__violating__pins,0
