net,length_um
net156,829.83µm
net159,791.15µm
net163,787.56µm
net110,631.125µm
_0006_,611.02µm
_2378_,546.62µm
_2359_,524.83µm
net138,524.53µm
_0433_,518.24µm
net139,502.29µm
net166,496.53µm
_0445_,494.34µm
_2374_,491.03µm
_0470_,483.35µm
_2401_,476.73µm
net126,474.54µm
_0001_,471.77µm
net140,470.99µm
_1453_,470.86µm
INSTR\[24\],466.6µm
net157,461.36µm
net134,460.48µm
_2360_,459.785µm
_0854_,459.24µm
_2413_,457.99µm
net49,452.16µm
_1333_,451.88µm
_0789_,451.4µm
_0824_,442.885µm
_1149_,441.2µm
_0009_,437.23µm
STATE\[3\],436.71µm
_2362_,433.83µm
net164,433.15µm
_0005_,430.36µm
_0855_,427.8µm
net129,426.19µm
_0791_,421.29µm
IMM\[2\],418.06µm
_1324_,417.19µm
_0856_,415.795µm
_2367_,415.775µm
net154,414.16µm
_0840_,412.41µm
_0493_,412.35µm
net111,411.58µm
_0851_,410.475µm
_0609_,406.92µm
_0847_,405.34µm
_0825_,404.97µm
net165,403.53µm
_0849_,402.46µm
_0011_,402.16µm
_0852_,401.84µm
net160,401.66µm
_0811_,401.19µm
_0797_,400.63µm
_0003_,399.58µm
net148,398.275µm
_0007_,397.31µm
_0471_,397.22µm
_1443_,397.19µm
_0848_,395.57µm
net150,394.78µm
_0839_,394.38µm
_0841_,387.69µm
clknet_2_1__leaf_CLK,386.26µm
clknet_2_0__leaf_CLK,383.48µm
net155,382.96µm
_0857_,382.895µm
_2363_,382.85µm
INSTR\[26\],381.295µm
_0804_,380.96µm
net162,377.16µm
IMM\[1\],376.76µm
_2392_,374.68µm
_0850_,374.66µm
_0793_,374.455µm
_2358_,374.38µm
_0858_,370.62µm
_2361_,367.65µm
net146,367.645µm
_0806_,366.09µm
INSTR\[25\],360.48µm
_0813_,360.27µm
_0802_,358.48µm
IMM\[0\],354.51µm
_0795_,348.63µm
_1150_,344.72µm
_2366_,344.01µm
_0446_,343.33µm
_0002_,342.725µm
_0784_,342.11µm
_0816_,340.87µm
net158,339.31µm
net167,336.04µm
net151,332.995µm
IMM\[15\],332.62µm
_0809_,332.28µm
_2414_,330.25µm
net153,328.54µm
net137,328.12µm
_0004_,324.79µm
net147,323.06µm
IMM\[3\],318.75µm
_1326_,318.56µm
_0506_,313.64µm
_0010_,312.76µm
net161,311.86µm
_2391_,305.64µm
_0800_,304.58µm
_1317_,303.85µm
clknet_2_2__leaf_CLK,303.72µm
IMM\[4\],296.99µm
_0860_,294.61µm
net142,288µm
net116,284.03µm
IMM\[8\],283.65µm
_2368_,281.87µm
clknet_0_CLK,278.08µm
INSTR\[27\],276.42µm
_2357_,275.3µm
_1445_,269.87µm
_0822_,269.03µm
net135,267.79µm
_1108_,267.18µm
IMM\[7\],265.9µm
_0008_,260.19µm
_0000_,258.15µm
IMM\[14\],257.66µm
net145,256.38µm
net144,253.64µm
_0842_,250.145µm
IMM\[9\],246.97µm
net141,246.45µm
_0679_,246.06µm
_1093_,246.06µm
_0818_,245.51µm
_1452_,245.07µm
_0820_,244.84µm
_0631_,244.82µm
CLK,244.33µm
_1328_,243.895µm
_0719_,243.36µm
_2080_,242.86µm
IMM\[11\],242.61µm
_1980_,230.94µm
_0459_,230.9µm
_0759_,230.35µm
_0541_,229.67µm
_0663_,228.06µm
RESULT_MEM_EN,228.02µm
net149,226.54µm
IMM\[12\],226.27µm
_0671_,224.81µm
_0861_,220.34µm
net109,220.34µm
_1083_,219.46µm
IMM\[6\],218.26µm
net108,217.85µm
net127,217.82µm
RESULT_ALU_EN,216.535µm
IMM\[5\],216.51µm
IMM\[10\],213.12µm
_0727_,212.21µm
_1444_,211.92µm
_1246_,210.96µm
_0845_,209.565µm
_2222_,209.32µm
_1325_,205.99µm
_1092_,200.765µm
_1327_,199.4µm
_0687_,196.06µm
_0516_,195.715µm
_0526_,193.86µm
IMM\[13\],193.275µm
net143,192.94µm
_2369_,192.83µm
_1623_,192.64µm
_1234_,191.5µm
_2221_,190.88µm
net128,189.57µm
_1856_,188.365µm
_0735_,188.29µm
_0711_,187.6µm
clknet_2_3__leaf_CLK,185.9µm
_0835_,185.42µm
net117,184.85µm
_1450_,184.34µm
net133,183.645µm
net119,180.75µm
_0596_,180.62µm
RESULT_SYS_EN,177.96µm
net132,177.83µm
_0514_,176.6µm
net120,175.92µm
_0828_,175.83µm
_0695_,175.8µm
_0954_,174.96µm
_1064_,173.22µm
_1259_,173.12µm
net131,173µm
net130,172.32µm
_1271_,172.17µm
_0434_,171.64µm
_1655_,171.18µm
_0481_,170.975µm
_2402_,170.48µm
_1074_,168.88µm
_0831_,167.935µm
_1605_,167.42µm
_1587_,166.78µm
_1082_,166.16µm
_2365_,164.6µm
_0650_,163.79µm
_0833_,163.115µm
_0642_,162.625µm
_1316_,161.39µm
_0836_,161.06µm
_1073_,158.62µm
net118,157.92µm
_2372_,157.42µm
_0832_,155.4µm
_1294_,155.19µm
_0570_,154.94µm
_0829_,154.82µm
_2371_,153.82µm
_0743_,153.79µm
_1275_,152.62µm
net122,151.72µm
_0639_,151.18µm
_1283_,149.93µm
_1551_,149.53µm
_1158_,147.115µm
_0834_,146.22µm
_0949_,145.28µm
net114,144.48µm
_0583_,141.88µm
_1391_,141.47µm
_1336_,141.08µm
net113,140.06µm
_0561_,139.62µm
_0751_,139.26µm
_0634_,138.725µm
_0846_,137.3µm
_1320_,137.23µm
_0703_,135.96µm
_0539_,135.28µm
_1116_,134.99µm
net136,134.91µm
net71,134.44µm
_1075_,133.7µm
_1539_,131.44µm
_0876_,130.97µm
_1157_,130.92µm
net152,127.735µm
_0469_,127.58µm
_1365_,127.29µm
_1091_,126.46µm
_0843_,124.26µm
_1703_,123.5µm
_1286_,123.485µm
_0492_,123.47µm
_1226_,123.46µm
_1497_,121.92µm
_1498_,121.7µm
_0622_,121.465µm
